Category,Subcategory,Example (literal or template),Severity (High/Medium/Low),Why it reads as AI,Human alternative / fix
Lexical/Word choice,MBA abstraction,solution space,High,"Inflates ""options"" or ""approaches"" into business-school jargon; reads as filler.",Use the plain word: options/approaches/possibilities.
Lexical/Word choice,MBA abstraction,value proposition,Medium,"Corporate noun phrase that pads ""offer"" or ""what it does for you."" Reads as deck-speak in prose.","Say the plain version: the offer, what it does, why it matters."
Lexical/Word choice,MBA abstraction,go-to-market motion,Medium,"""Motion"" suffix inflates a plain noun; reads as boardroom jargon imported into prose.","Use ""sales approach,"" ""launch plan,"" or whatever the motion actually is."
Lexical/Word choice,MBA abstraction,north star metric,Medium,"Stock business-school noun phrase; rarely earns its inflation in narrative writing.","Use ""key metric"" or name the specific metric."
Lexical/Word choice,MBA abstraction,operating cadence,Medium,"""Cadence"" inflates ""schedule"" or ""rhythm of meetings."" Reads as McKinsey-speak.","Use ""schedule,"" ""routine,"" or just describe the actual rhythm."
Lexical/Word choice,MBA abstraction,frameworks for thinking about [X],Medium,Empty scaffolding; usually means the writer has not yet said what they think.,Make the point directly. If there really is a framework, name it and use it.
Lexical/Word choice,MBA abstraction,mental models around [X],Medium,"""Around"" suffix evades commitment to a specific claim; corporate AI hedge.","""How to think about X"" — or just make the claim."
Lexical/Word choice,MBA abstraction,thought leadership,Medium,"Self-congratulatory corporate phrase; almost never describes anything specific.",Name the actual thing — analysis/argument/POV.
Lexical/Word choice,MBA abstraction,strategic alignment,Medium,"Empty managerial filler; rarely refers to anything concrete in prose.",Say what is actually being aligned and why.
Structure/Formatting,Sentence patterns,"Triplet sentences where one strong sentence would do (e.g., ""It mattered. It changed things. It was real."")",High,"Three short parallel sentences doing the work of one; the 2nd and 3rd rephrase the first for rhythm rather than adding information.",Collapse to a single strong sentence with the load-bearing content. Reserve triplets for moments where each sentence adds new material.
Structure/Formatting,Sentence patterns,"Asyndeton in serial lists (e.g., ""She opened the laptop, ran the script, watched it fail."")",Medium,"LLMs reach for dropped ""and"" as a stylistic crutch for rhythm; humans usually keep the conjunction.","Restore the ""and"" before the final item unless asyndeton is doing specific rhetorical work — and even then, use it once, not as default."
Structure/Formatting,Aphoristic equations,"""X without Y is just Z"" (e.g., ""A coach without context is just a chatbot."")",High,"Symmetrical aphorism that sounds quotable but says nothing earned; the shape would work for any topic with the right nouns swapped in. Classic AI cleverism.",Back the line with the specific evidence/example that earned it — or cut. An aphorism without backing is a quotable hole.
Structure/Formatting,Aphoristic equations,"""X is Y for Z"" (e.g., ""Prompts are the new code."")",Medium,"Portable equation shape; substitutes pattern-match for argument.","If the equation is true, prove it with cases. If it's just a clever shape, cut."
Structure/Formatting,Aphoristic equations,"""What gets X gets Y"" (e.g., ""What gets named gets measured."")",Medium,Quotable but rarely earned by the surrounding argument.,Cut or earn it. Quotability without backing is rhetorical air.
Structure/Formatting,Aphoristic equations,"""The best X is the X that doesn't [verb]""",Medium,Tweetable inversion shape; reliably more clever than true.,Make the underlying claim directly and defend it.
Search pattern,Regex,\b(problem|solution|design|opportunity|product|market)\s+space\b,—,Catches MBA-abstraction nouns ending in 'space',Use with care; review hits in context.
Search pattern,Regex,\b(go-to-market|launch|sales|operating)\s+motion\b,—,Catches MBA-abstraction nouns ending in 'motion',Use with care; review hits in context.
Search pattern,Regex,\b(frameworks?|mental models?)\s+(for thinking about|around)\b,—,Catches framework/mental-model scaffolding,Use with care; review hits in context.
Search pattern,Regex,\bwithout\s+\w+\s+(is|are)\s+just\s+\w+,—,"Catches ""X without Y is just Z"" aphorism shape",Use with care; review hits in context.
